psa_customer_id,psa_customer_name,ticket_count,ticket_statuses,ticket_priorities,ticket_types,example_tickets,ticket_urls,suggested_pm_hub_client,suggested_pm_hub_client_id,suggested_pm_hub_lob,suggested_has_psa_record,suggested_client_codes,suggested_status,suggestion_score,alternate_candidates,recommended_action,review_decision,review_notes
21971,Valhelio Tech,23,Pending|New,Medium|High,Service Call|Onboarding|Break/fix,"835: Error when emailing from ticket || 786: Contact Support: User not receiving community invite email || 778: Contact Support: Middle name displaying in user profile initials || 776: Contact Support: Package rates showing incorrectly per product || 713: Contact Support: HTML conversion error, awaiting screenshot",https://psainternal.psarev.io/tickets/835/customers/21971 https://psainternal.psarev.io/tickets/786/customers/21971 https://psainternal.psarev.io/tickets/778/customers/21971 https://psainternal.psarev.io/tickets/776/customers/21971 https://psainternal.psarev.io/tickets/713/customers/21971,,,,,,,,,needs_pm_hub_source_scope_decision,,
23021,Orkestra,21,New|Open,Medium,Service Call|Onboarding,842: Training || 684: Kickoff || 679: Bill Out Support || 639: Bill Out Support || 637: Activation,https://psainternal.psarev.io/tickets/842/customers/23021 https://psainternal.psarev.io/tickets/684/customers/23021 https://psainternal.psarev.io/tickets/679/customers/23021 https://psainternal.psarev.io/tickets/639/customers/23021 https://psainternal.psarev.io/tickets/637/customers/23021,,,,,,,,,needs_pm_hub_source_scope_decision,,
21043,Class 5 Technologies,7,Pending|New,Medium|Low|High,Tier 1 Support|Service Call|Break/fix,"818: Ticket list does not allow for editing of time logs || 783: Contact Support: Template partially pulls, quote items missing || 782: Contact Support: Incomplete ticket information provided || 716: Contact Support: Task extending past business hours not displaying || 715: Contact Support: Account locked out after single login attempt",https://psainternal.psarev.io/tickets/818/customers/21043 https://psainternal.psarev.io/tickets/783/customers/21043 https://psainternal.psarev.io/tickets/782/customers/21043 https://psainternal.psarev.io/tickets/716/customers/21043 https://psainternal.psarev.io/tickets/715/customers/21043,,,,,,,,,needs_pm_hub_source_scope_decision,,
1237,CallSprout,4,New,Medium|High,Service Call|Break/fix|Tier 1 Support,"791: Contact Support: Unable to add products to quote || 698: Contact Support: Prevent invoicing closed accounts with no charges || 685: Contact Support: Billing period closed, invoice reversal blocked || 657: Contact Support: Remove autopay discount surcharge from invoice",https://psainternal.psarev.io/tickets/791/customers/1237 https://psainternal.psarev.io/tickets/698/customers/1237 https://psainternal.psarev.io/tickets/685/customers/1237 https://psainternal.psarev.io/tickets/657/customers/1237,,,,,,,,,needs_pm_hub_source_scope_decision,,
22966,Premise Solutions,4,Pending|New,Medium|High,Service Call|Break/fix,821: Contact Support: Calendar reconfiguration exceeds maximum call stack || 689: Contact Support: Existing ticket 403 Forbidden access error || 680: Contact Support: Dispatch board not showing tasks for Judson || 670: Contact Support: Access denied despite confirmed permissions granted,https://psainternal.psarev.io/tickets/821/customers/22966 https://psainternal.psarev.io/tickets/689/customers/22966 https://psainternal.psarev.io/tickets/680/customers/22966 https://psainternal.psarev.io/tickets/670/customers/22966,,,,,,,,,needs_pm_hub_source_scope_decision,,
21983,"Bridge Communications, LLC",3,Open|New,Medium|Low,Service Call|Feature Request,816: Contact Support: Analytics dashboard access broken showing error || 804: Contact Support: Sequential quote numbers instead of long references || 675: Contact Support: Assign Infrastructure tag to sales bill customers,https://psainternal.psarev.io/tickets/816/customers/21983 https://psainternal.psarev.io/tickets/804/customers/21983 https://psainternal.psarev.io/tickets/675/customers/21983,,,,,,,,,needs_pm_hub_source_scope_decision,,
22976,Troy Security Systems,3,New,Low|Medium,Service Call|Break/fix,797: Contact Support: UOM definition inquiry for products tab || 796: Contact Support: Test issue summary needed || 71: Troy Security Systems — Integrations Page Error,https://psainternal.psarev.io/tickets/797/customers/22976 https://psainternal.psarev.io/tickets/796/customers/22976 https://psainternal.psarev.io/tickets/71/customers/22976,,,,,,,,,needs_pm_hub_source_scope_decision,,
20055,"4Voice, LLC",2,New,Medium,Service Call,805: Contact Support: Custom Quote template product sync issue || 788: Contact Support: Duplicate login name creation error,https://psainternal.psarev.io/tickets/805/customers/20055 https://psainternal.psarev.io/tickets/788/customers/20055,,,,,,,,,needs_pm_hub_source_scope_decision,,
22869,Bard Locksmith & Security,2,New,Medium|High,Break/fix,708: Contact Support: Custom fields not appearing in client assets || 662: Contact Support: Duplicate customer entries created for account 1205,https://psainternal.psarev.io/tickets/708/customers/22869 https://psainternal.psarev.io/tickets/662/customers/22869,,,,,,,,,needs_pm_hub_source_scope_decision,,
1111,"Bullfrog Group, LLC",2,Pending|New,Medium|High,Service Call,831: Emails not translating apostrophes || 830: Accepted attachment types,https://psainternal.psarev.io/tickets/831/customers/1111 https://psainternal.psarev.io/tickets/830/customers/1111,,,,,,,,,needs_pm_hub_source_scope_decision,,
22981,Hawkeye Alarm,2,Pending|New,High|Medium,Break/fix,669: Contact Support: 403 Forbidden error accessing customers section || 69: Hawkeye Alarm — Error Adding New Addresses,https://psainternal.psarev.io/tickets/669/customers/22981 https://psainternal.psarev.io/tickets/69/customers/22981,,,,,,,,,needs_pm_hub_source_scope_decision,,
22895,Integrity Sound,2,New,High,Service Call|Break/fix,678: Google Calendar Duplicating  || 52: Integrity Sound — Google Calendar Duplicates,https://psainternal.psarev.io/tickets/678/customers/22895 https://psainternal.psarev.io/tickets/52/customers/22895,,,,,,,,,needs_pm_hub_source_scope_decision,,
22999,TrueLine Technologies,2,New,Medium|High,Service Call|Break/fix,785: Contact Support: Signed quote not converting to ticket || 114: Contact Support: Outlook Sync erroring out,https://psainternal.psarev.io/tickets/785/customers/22999 https://psainternal.psarev.io/tickets/114/customers/22999,,,,,,,,,needs_pm_hub_source_scope_decision,,
1490,Blueline Telecom,1,Pending,High,Break/fix,671: Contact Support: Adding prospect causes 403 error,https://psainternal.psarev.io/tickets/671/customers/1490,,,,,,,,,needs_pm_hub_source_scope_decision,,
22890,Canitan LLC,1,New,Medium,Break/fix,706: Contact Support: Progress bars not accounting for time logs,https://psainternal.psarev.io/tickets/706/customers/22890,,,,,,,,,needs_pm_hub_source_scope_decision,,
22411,Duffie's Copier Consultants LLC,1,New,High,Break/fix,676: Contact Support: Ticket creation error with typo message,https://psainternal.psarev.io/tickets/676/customers/22411,,,,,,,,,needs_pm_hub_source_scope_decision,,
1382,Stratus Telecom,1,New,Medium,Break/fix,714: Contact Support: RevIO PSA authentication ID and secret needed,https://psainternal.psarev.io/tickets/714/customers/1382,,,,,,,,,needs_pm_hub_source_scope_decision,,
23016,Sydewire Technologies,1,New,High,Service Call,841: Instance Not Loading,https://psainternal.psarev.io/tickets/841/customers/23016,,,,,,,,,needs_pm_hub_source_scope_decision,,
